# name, mass,, mass_error, radius, radius_error, period, period_error, axis, axis_error, eccentricity, eccentricity_error, inclination, inclination_error, angular_distance, omega, omega_error, tperi, tperi_error, tconj, tconj_error, tzero_tr, tzero_tr_error, tzero_tr_sec, tzero_tr_sec_error, lambda_angle, lambda_angle_error, tzero_vr, tzero_vr_error, temp_calculated, temp_measured, hot_point_lon, log_g, detection_type, molecules, star.name, ra, dec, star.magnitude_v, star.magnitude_i, star.magnitude_j, star.magnitude_h, star.magnitude_k, star.distance, star.metallicity, star.mass, star.radius, star.spec_type, star.age, star.teff
SR 12 AB c,13,4132.7,[7.0],,,,,1083,[217.0],,,,,8.664,,,,,,,,,,,,,,,,,,,detected by imaging,,SR 12 AB,27:20.0,-24:41:40,13.28,,,,,125,,,,K4-M2.5,0.001,
SWEEPS-04 ,3.8,1208.02,"[inf, nan]",0.81,[0.1],4.2,,0.055,,,,87,"[nan, inf]",6.00E-06,,,,,,,,,,,,,,,,,,,detected by transit,,SWEEPS-04,58:54.0,-29:11:21,18.8,,,,,8500,,1.24,1.18,,,
SWEEPS-11 ,9.7,3083.63,[5.6],1.13,[0.21],1.796,,0.03,,,,84,"[nan, inf]",4.00E-06,,,,,,,,,,,,,,,,,,,detected by transit,,SWEEPS-11,59:03.0,-29:11:54,19.83,,,,,8500,,1.1,1.45,,,
TrES-1 ,0.761,241.9219,[0.05],1.099,[0.035],3.0300722,[2e-07],0.0393,[0.0007],0,[],88.4,[0.3],0.00025,,[],,[],,[],2453186.806,[5.1e-05],,,,,,,,,,,detected by transit,,TrES-1,04:09.0,+36:37:57,11.79,,,,,157,0.001,0.88,0.85,K0V,2.5,
TrES-2 ,1.253,398.3287,[0.052],1.169,[0.034],2.470613402,[1.5e-07],0.03556,[0.00075],0,[],83.874,"[0.068, 0.068]",0.000162,,[],,[],,[],2453957.635,[7e-05],,,,,,,,,,,detected by transit,,TrES-2,07:14.0,+49:18:59,11.41,,,,,220,-0.15,0.98,1,G0V,5.1,5850
TrES-3 ,1.91,607.189,"[0.08, 0.06]",1.305,"[0.09, 0.09]",1.30618608,[3.8e-07],0.0226,[0.0013],0,[],82.15,[0.21],,,[],,[],,[],2454538.581,[0.00021],,,,,,,,,,,detected by transit,,TrES-3,52:07.0,+37:32:46,12.4,,,,,,-0.19,0.924,0.813,G,,5720
TrES-4 ,0.917,291.5143,[0.07],1.706,[0.056],3.5539268,[3.2e-06],0.05084,[0.0005],0,[],82.81,[0.37],0.000106,,[],,[],,[],2454230.905,[0.00062],,,,,,,,,,,detected by transit,,TrES-4,53:13.0,+37:12:42,11.592,,,,,479,0.14,1.388,1.798,F,2.9,6200
TrES-5 ,1.778,565.2262,[0.063],1.209,[0.021],1.4822446,[7e-07],0.02446,[0.0001069],,,84.529,[0.005],6.80E-05,,,,,,,2455443.252,[0.0001069],,,,,,,,,,,detected by transit,,TrES-5,20:53.0,+59:26:57,13.72,,,,,360,0.2,0.893,0.866,,7.38,5171
USco1602-2401 b,47,14941.3,"[20.0, 18.0]",,[],,[],1000,[140.0],,[],,[],,,[],,[],,[],,[],,,,,,,2790,,,,detected by imaging,,USco1602-2401,02:51.0,-24:01:50,,,12.5,,,,,,,K4,,4550
USco1610-1913 b,20,6358,"[7.0, 3.0]",,[],,[],840,[90.0],,[],,[],,,[],,[],,[],,[],,,,,,,2400,,,,detected by imaging,,USco1610-1913,10:32.0,-19:13:09,,,13.9,,,,,,,K7,,4140
USco1612-1800 b,26,8265.4,"[16.0, 7.0]",,[],,[],430,[40.0],,[],,[],,,[],,[],,[],,[],,,,,,,2550,,,,detected by imaging,,USco1612-1800,12:49.0,-18:00:50,,,,,13.2,,,,,M3,,3410
UScoCTIO 108 b,16,5086.4,"[2.0, 3.0]",,,,,670,,,,,,4.62069,,,,,,,,,,,,,,,,,,,detected by imaging,,UScoCTIO 108,05:54.0,-18:18:43,,15.65,14.42,15.07,,145,,0.057,,M7,0.011,2600
UZ For(ab) d,7.7,2447.83,[1.2],,,1900,[90.0],2.8,[0.5],0.05,[0.05],,,,,,,,,,,,,,,,,,,,,,pulsar,,UZ For(ab),35:29.0,-25:44:22,18.2,,,,,,,0.84,,Catac. var.,,
V391 Peg b,3.2,1017.28,[0.7],,,1170,[44.0],1.7,[0.1],0,,,,0.001214,,,,,2418,[96.0],,,,,,,,,,,,,pulsar,,V391 Peg,04:12.0,+26:25:08,14.57,,15.17,15.16,15.38,1400,,0.5,0.23,sdB,10,29300
WASP-1 b,0.86,273.394,[0.07],1.484,"[0.09, 0.09]",2.5199464,[8e-07],0.0382,[0.0013],0,[],88.65,[0.55],,,[],,[],,[],2454461.863,[0.0002],,,,,,,,,,,detected by transit,,WASP-1,20:40.0,+31:59:24,11.79,,,,,,,1.24,1.382,F7V,,6200
WASP-10 b,3.06,972.774,"[0.21, 0.23]",1.08,[0.02],3.0927616,"[1.82e-05, 1.82e-05]",0.0371,"[0.0013, 0.0013]",0.057,"[0.005, 0.005]",86.8,"[0.5, 0.5]",0.000412,2.737,"[0.166, 0.166]",,,,,2454357.858,"[0.0003, 0.0003]",,,,,,,,,,,detected by transit,,WASP-10,15:58.0,+31:27:46,12.7,,,,,90,0.03,0.71,0.783,K5,0.8,4675
WASP-11-HAT-P-10 b,0.46,146.234,[0.028],1.045,"[0.033, 0.033]",3.722469,[6.7e-06],0.0439,"[0.0009, 0.0009]",0,[],88.5,[0.6],0.000351,,[],,[],,[],2454729.906,[0.0003],,,,,,,,,,,detected by transit,,WASP-11-HAT-P-10,09:29.0,+30:40:25,11.89,,,,,125,0.13,0.82,0.81,K3V,11.2,4980
WASP-12 b,1.404,446.3316,[0.099],1.736,[0.092],1.0914222,[1.1e-06],0.02293,[0.00078],0,"[0.01, 0.01]",86,[3.0],5.40E-05,,[],,[],,[],2454508.976,[0.00028],,,,,,,,,,,detected by transit,"CO, CH4, CH4, CO, H2O, TiO, VO, HCN, H2",WASP-12,30:33.0,+29:40:20,11.69,11.03,10.48,10.23,10.19,427,0.3,1.35,1.599,G0,1.7,6300
WASP-13 b,0.485,154.1815,"[0.058, 0.052]",1.365,"[0.062, 0.062]",4.353011,[1.3e-05],0.05379,"[0.00059, 0.00059]",0,[],85.64,[0.24],0.000345,,[],,[],,[],2455575.514,[0.0016],,,,,,,,,,,detected by transit,,WASP-13,20:25.0,+33:52:57,10.42,,,,,156,0,,,G1V,,5826
WASP-14 b,7.341,2333.7039,"[0.508, 0.496]",1.281,"[0.075, 0.075]",2.2437661,[1.1e-06],0.036,[0.001],0.087,[0.002],84.79,"[0.67, 0.67]",0.000225,-107.1,[0.5],,[],,[],2454963.937,[0.00025],,,,,,,,,,,detected by transit,,WASP-14,33:06.0,+21:53:41,9.75,,,,,160,0,1.211,1.306,F5V,0.75,6475
WASP-15 b,0.542,172.3018,[0.05],1.428,[0.077],3.7520656,[2.8e-06],0.0499,[0.0018],0,[],85.5,[0.5],0.000162,,[],,[],,[],2454584.698,[0.00029],,,,,,,,,,,detected by transit,,WASP-15,55:43.0,-32:09:35,10.9,,,,,308,-0.17,1.18,1.477,F7,3.9,6300
WASP-16 b,0.855,271.8045,[0.059],1.008,[0.071],3.1186009,"[1.31e-05, 1.31e-05]",0.0421,"[0.0018, 0.0018]",0,[],85.22,"[0.43, 0.43]",,,[],,[],,[],2454584.429,"[0.00023, 0.00023]",,,,,,,,,,,detected by transit,,WASP-16,18:44.0,-20:16:32,11.3,,,,,,0.01,1.022,0.946,G3V,2.3,5550
WASP-17 b,0.486,154.4994,[0.032],1.991,[0.081],3.735438,[6.8e-06],0.0515,[0.00034],0.028,"[0.018, 0.018]",86.83,"[0.56, 0.56]",,-82.6,"[2.6, 2.6]",,[],,[],2454577.858,[0.00027],,[],,[],,,,,,,detected by transit,"Na, Na",WASP-17,59:51.0,-28:03:42,11.6,,,,,,-0.19,1.2,1.38,F4,3,6650
WASP-18 b,10.43,3315.697,[0.4],1.165,[0.077],0.9414518,[4e-07],0.02047,[0.00038],0.0088,[0.0012],86,[2.5],0.000205,-91,[3.0],,,,,2454221.482,[0.00038],,,,,,,,,,,detected by transit,,WASP-18,37:25.0,-45:40:40,9.3,,,,,100,0,1.24,1.23,F6,0.63,6400
WASP-19 b,1.114,354.1406,[0.04],1.395,[0.025],0.78884,[3e-07],0.01616,[0.00026],0.0046,"[0.0044, 0.0044]",79.4,[0.4],,3,[70.0],,[],,[],2455168.968,[9e-05],,[],,[],,,2077,,,,detected by transit,,WASP-19,53:40.0,-45:39:33,12.3,,,,,,0.02,0.904,1.004,G8V,11.5,5500
WASP-2 b,0.847,269.2613,[0.045],1.079,[0.033],2.15222144,[4e-07],0.03138,[0.011],0,[],84.73,[0.19],0.000218,,[],,[],,[],2453991.515,[0.00017],,,,,,,,,,,detected by transit,,WASP-2,30:54.0,+06:25:46,11.98,,,,,144,-0.08,0.84,0.834,K1V,,5150
WASP-20 b,0.3,95.37,,0.9,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,detected by transit,,WASP-20,00:00.0,+00:00:00,,,,,,,,,,,,
WASP-21 b,0.3,95.37,[0.01],1.21,"[0.032, 0.032]",4.322506,[3.1e-06],0.052,"[0.00044, 0.00044]",0,[],87.29,[0.29],0.000226,,[],,[],,[],2454743.042,"[0.0022, 0.0022]",,,,,,,,,,,detected by transit,,WASP-21,09:58.0,+18:23:46,11.6,,,,,230,-0.4,1.01,1.06,G3V,,5800
WASP-22 b,0.588,186.9252,[0.017],1.158,"[0.038, 0.038]",3.5327313,[5.8e-06],0.04698,[0.00037],0,,88.26,[0.91],0.000157,,,,,,,2455497.4,[0.00025],,,,,,,,,,,detected by transit,,WASP-22,31:16.0,-23:49:11,12,,,,,300,-0.05,1.1,1.13,,,6000
WASP-23 b,0.884,281.0236,"[0.099, 0.088]",0.962,"[0.056, 0.056]",2.9444256,[1.3e-06],0.0376,"[0.0024, 0.0024]",0.062,"[inf, nan]",88.39,"[0.46, 0.46]",,,,,,,,5320.12363,[0.00013],,,,,,,,,,,detected by transit,,WASP-23,44:31.0,-42:45:43,12.7,,,,,,,0.78,0.765,K1V,,5150
WASP-24 b,1.032,328.0728,"[0.037, 0.038]",1.104,"[0.057, 0.057]",2.3412083,[2e-06],0.0359,[],0,,83.64,[0.29],0.000109,,,,[],,[],2455081.379,[0.00017],,,,,,,,,,,detected by transit,,WASP-24,08:52.0,+02:20:36,11.3,,,,,330,0.07,1.129,1.147,F8-9,1.6,6075
WASP-25 b,0.58,184.382,[0.04],1.26,[0.06],3.76483,[5e-05],0.0474,[0.0004],0,,87.7,[0.5],0.00028,,,,,,,,,,,,,,,,,,,detected by transit,,WASP-25,01:26.0,-27:31:20,11.9,,,,,169,-0.05,1,0.95,G4,,5750
WASP-26 b,1.028,326.8012,[0.021],1.281,[0.075],2.7566004,[6.7e-06],0.03985,[0.00033],0,,82.91,[0.46],0.000159,,,,,,,2455228.388,[0.00058],,,,,,,,,,,detected by transit,,WASP-26,18:25.0,-15:16:02,11.3,,,,,250,-0.02,1.12,1.34,G0,6,5950
WASP-28 b,0.91,289.289,[0.06],1.12,[0.06],3.408821,[1.5e-05],0.0455,[0.0005],0.046,[0.03],89.1,[0.6],0.000136,,,,,,,2455116.557,[0.0005],,,,,,,,,,,detected by transit,,WASP-28,34:28.0,-01:34:48,12,,,,,334,-0.29,1.08,1.05,F8-G0,,6100
WASP-29 b,0.244,77.5676,[0.02],0.792,"[0.035, 0.035]",3.922727,[4e-06],0.0457,[0.0006],0.03,"[0.03, 0.03]",88.8,[0.7],0.000571,,,,[],,[],2455320.243,[0.004],,,,,,,,,,,detected by transit,,WASP-29,51:31.0,-39:54:24,11.3,,,,,80,0.11,0.825,0.846,K4V,15,4800
WASP-3 b,2.06,654.874,[0.13],1.454,[0.084],1.8468372,[6e-07],0.0313,[0.0001],0,[],85.06,"[0.16, 0.16]",0.00014,,[],,[],,[],2454605.559,[0.00023],,,,,,,,,,,detected by transit,,WASP-3,34:32.0,+35:39:42,10.64,,,,,223,0,1.24,1.31,F7V,,6400
WASP-31 b,0.478,151.9562,[0.03],1.537,[0.06],3.405909,[5e-06],0.04657,[0.00034],0,,84.54,[0.027],0.000116,,,,,,,5189.2828,[0.0003],,,,,,,,,,,detected by transit,,WASP-31,17:45.0,-19:03:17,11.7,,,,,400,-0.19,1.16,1.24,F,,6200
WASP-32 b,3.6,1144.44,[0.07],1.18,[0.07],2.71865,[8e-05],0.0394,[0.0003],0.018,[0.0065],85.3,[0.5],,160,[30.0],,,,,2455151.054,[0.0005],,,,,,,,,,,detected by transit,,WASP-32,15:51.0,+01:12:02,11.3,,,,,,-0.13,1.1,1.11,G,,6100
WASP-33 b,4.59,1459.161,"[inf, nan]",1.438,"[0.03, 0.03]",1.21986967,[4.5e-07],0.02558,[0.00023],0,[],87.67,"[2.4, 2.4]",0.000221,,[],,[],,[],2454590.179,[0.00027],,,,,,,,,,,detected by transit,,WASP-33,26:51.0,+37:33:02,8.3,,,,,116,0.1,1.495,1.444,A5,,7400
WASP-34 b,0.59,187.561,[0.01],1.22,"[0.08, 0.08]",4.3176782,[4.5e-06],0.0524,[0.0004],0.038,[0.012],85.2,[0.2],0.000437,-40.2,"[18.6, 18.6]",,,,,2454647.554,[0.00064],,,,,,,,,,,detected by transit,,WASP-34,01:36.0,-23:51:38,10.4,,,,,120,-0.02,1.01,0.93,G5,,5700
WASP-35 b,0.72,228.888,[0.06],1.32,[0.03],3.161575,[2e-06],0.04317,[0.00028],0,,87.96,"[0.25, 0.25]",,,,,,,,5531.47907,[0.00015],,,,,,,,,,,detected by transit,,WASP-35,00:00.0,+00:00:00,,,,,,,,,,,,
WASP-36 b,2.279,724.4941,[0.068],1.269,[0.03],1.5373653,[2.7e-06],0.02624,[0.00027],0,,83.65,[0.22],5.80E-05,,,,,,,2455569.837,[9.3e-05],,,,,,,,,,,detected by transit,,WASP-36,45:19.0,-08:01:37,12.7,,,,,450,-0.31,1.02,0.943,G2,3,5881
WASP-37 b,1.696,539.1584,"[0.128, 0.123]",1.136,"[0.051, 0.051]",3.577471,[1.1e-05],0.04339,"[0.00152, 0.00152]",0,,88.78,"[0.83, 0.83]",0.000128,,,,,,,2455338.619,[0.0006],,,,,,,,,,,detected by transit,,WASP-37,47:47.0,+01:03:54,12.7,,,,,338,-0.4,0.849,0.977,G2,11,5800
WASP-38 b,2.712,862.1448,[0.065],1.079,"[0.044, 0.044]",6.871815,"[4.2e-05, 4.2e-05]",0.07551,"[0.00085, 0.00085]",0.0321,"[0.0044, 0.0044]",88.69,[0.55],0.000686,-19,"[-16.0, -16.0]",,,,,2455335.921,[0.00074],,,,,,,,,,,detected by transit,,WASP-38,15:50.0,+10:01:57,9.42,,,,,110,-0.12,1.216,1.365,F8,5,6150
WASP-39 b,0.28,89.012,[0.03],1.27,[0.04],4.055259,[9e-06],0.0486,[0.0005],0,,87.83,[0.25],0.000211,,,,,,,2455342.969,[0.0002],,,,,,,,,,,detected by transit,,WASP-39,29:18.0,-03:26:40,12.11,,,,,230,-0.12,0.93,0.895,G8,,5400
WASP-4 b,1.1215,356.52485,"[0.079, 0.087]",1.395,[0.022],1.33823187,[2.5e-07],0.0235,[0.0004],0,[],88.52,"[0.39, 0.26]",7.70E-05,,[],,[],,[],2454823.592,[2.8e-05],,,,,,,,,,,detected by transit,,WASP-4,34:15.0,-42:03:41,12.6,,,,,300,-0.03,0.93,1.15,G8,,5500
WASP-41 b,0.92,292.468,[0.07],1.21,[0.07],3.052394,[4e-06],0.04,[0.0005],0,,87.3,"[0.7, 0.7]",0.000222,,,,,,,2455343.462,[0.001],,,,,,,,,,,detected by transit,,WASP-41,00:00.0,+00:00:00,11.6,,,,,180,-0.08,0.95,1.01,G8V,,5450
WASP-42 b,0.5,158.95,[0.035],1.08,[0.057],4.9816872,[7.3e-06],0.0458,[0.0017],0.06,[0.013],88.25,[0.27],,167,[26.0],,,,,2455652.889,[0.035],,,,,,,,,,,detected by transit,,WASP-42,00:00.0,+00:00:00,,,,,,,,,,,,
WASP-43 b,2.034,646.6086,[0.052],1.036,[0.019],0.81347753,[7e-07],0.01526,[0.00018],0.0035,"[0.0025, 0.0025]",82.33,[0.2],,-32,"[34.0, 34.0]",,[],,[],2455726.951,"[0.00078, 0.00078]",,,,,,,,,,,detected by transit,,WASP-43,19:38.0,-09:48:23,12.4,,,,,,-0.01,0.717,0.667,K7V,0.4,4520
WASP-44 b,0.889,282.6131,[0.062],1.14,[0.11],2.4238039,[8.7e-06],0.03473,[0.00041],0,[],86.02,"[0.86, 0.86]",,,[],,[],,[],2455434.376,[0.0004],,,,,,,,,,,detected by transit,,WASP-44,15:37.0,-11:56:17,12.9,,,,,,0.06,0.951,0.927,G8V,0.9,5410
WASP-45 b,1.007,320.1253,[0.053],1.16,"[0.14, 0.14]",3.1260876,[3.5e-06],0.04054,[0.0009],0,,84.47,"[0.79, 0.79]",,,,,,,,2455441.269,[0.00058],,,,,,,,,,,detected by transit,,WASP-45,20:57.0,-35:59:54,12,,,,,,0.36,0.909,0.945,K2V,1.4,5140
WASP-46 b,2.101,667.9079,[0.073],1.31,[0.051],1.43037,[2.3e-06],0.02448,[0.00028],0,,82.63,[0.38],,,,,,,,2455392.316,[0.0002],,,,,,,,,,,detected by transit,,WASP-46,14:57.0,-55:52:18,12.9,,,,,,-0.37,0.956,0.917,G6V,1.4,5620
WASP-47 b,1.14,362.406,[0.05],1.15,"[0.02, 0.02]",4.1591399,[7.2e-06],0.052,[0.0006],0,,89.2,"[0.7, 0.7]",0.00026,,,,,,,2455764.346,[0.00022],,,,,,,,,,,detected by transit,,WASP-47,04:49.0,-12:01:08,11.9,,,,,200,0.18,1.084,1.15,G9V,,5400
WASP-48 b,0.98,311.542,[0.09],1.67,[0.08],2.143634,[3e-06],0.03444,[0.00043],0,,80.09,"[0.55, 0.55]",,,,,,,,5364.55043,[0.00027],,,,,,,,,,,detected by transit,,WASP-48,24:39.0,+55:28:23,11.06,,,,,,-0.12,1.19,1.75,,,5990
WASP-49 b,0.378,120.1662,[0.027],1.115,[0.047],2.7817387,[5.6e-06],0.0378,[0.027],,,84.89,[0.19],,,,,,,,2455580.594,[0.00029],,,,,,,,,,,detected by transit,,WASP-49,00:00.0,+00:00:00,,,,,,,,,,,,
WASP-5 b,1.637,520.4023,[0.082],1.171,[0.057],1.6284246,[1.3e-06],0.02729,[0.00056],0,[],85.8,[1.1],9.20E-05,,[],,[],,[],2454375.625,[0.00024],,,,,,,,,,,detected by transit,,WASP-5,57:24.0,-41:16:38,12.26,,,,,297,0.09,1,1.084,G5,3,5700
WASP-50 b,1.437,456.8223,[0.068],1.138,[0.026],1.9550959,[5.1e-06],0.02913,[0.00064],0.009,"[0.006, 0.006]",84.74,[0.24],0.000128,44,"[80.0, 80.0]",,[],,[],2455561.549,[0.01],,,,,,,,,,,detected by transit,,WASP-50,54:45.0,-10:53:53,11.6,,,,,230,-0.12,0.861,0.855,G9,8.1,5400
WASP-52 b,0.46,146.234,[0.02],1.27,[0.03],1.7497798,[1.2e-06],0.0272,[0.0003],0,[],85.35,[0.2],,,[],,[],,[],2455793.681,[9e-05],,,,,,,,,,,detected by transit,,WASP-52,13:59.0,+08:45:41,12,,,,,140,0.03,0.87,0.79,K2V,0.4,5000
WASP-53 b,2.5,794.75,,1.2,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,detected by transit,,WASP-53,00:00.0,+00:00:00,,,,,,,,,,,,
WASP-54 b,0.6,190.74,[],1.4,[],3.7,[],,[],,[],,[],,,[],,[],,[],,[],,,,,,,,,,,detected by transit,,WASP-54,00:00.0,+00:00:00,,,,,,,,,,,,
WASP-55 b,0.57,181.203,[0.04],1.3,"[0.03, 0.03]",4.465633,[4e-06],0.0533,[0.0007],0,,89.2,[0.6],0.000162,,,,,,,2455737.94,[0.0003],,,,,,,,,,,detected by transit,,WASP-55,55:02.0,-17:30:13,11.8,,,,,330,-0.2,1.01,1.06,,,5900
WASP-56 b,0.6,190.74,[],1.2,[],4.6,[],,[],,[],,[],,,[],,[],,[],,[],,,,,,,,,,,detected by transit,,WASP-56,00:00.0,+00:00:00,,,,,,,,,,,,
WASP-57 b,0.8,254.32,[],1.1,[],2.8,[],,[],,[],,[],,,[],,[],,[],,[],,,,,,,,,,,detected by transit,,WASP-57,00:00.0,+00:00:00,,,,,,,,,,,,
WASP-58 b,0.89,282.931,[0.07],1.37,[0.2],5.01718,[1.1e-05],0.0561,[0.002],0,[],87.4,[1.5],,,[],,[],,[],2455183.934,[0.001],,,,,,,,,,,detected by transit,,WASP-58,18:48.0,+45:10:19,11.66,,,,,300,-0.45,0.94,1.17,G2V,3.2,5800
WASP-59 b,0.7,222.53,,0.9,,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,detected by transit,,WASP-59,18:30.0,+24:53:21,13,,,,,125,-0.15,0.719,0.613,K5V,0.5,4650
WASP-6 b,0.503,159.9037,"[0.038, 0.019]",1.224,"[0.052, 0.052]",3.361006,"[3.5e-06, 3.5e-06]",0.0421,"[0.0013, 0.0013]",0.054,"[0.015, 0.015]",88.47,"[0.47, 0.47]",0.000137,1.7,"[0.22, 0.22]",,,,,,,,,,,,,,,,,detected by transit,,WASP-6,12:38.0,-22:40:26,12.4,,,,,307,-0.2,0.888,0.87,G8,11,5450
WASP-60 b,0.5,158.95,,0.9,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,detected by transit,,WASP-60,46:40.0,+31:09:21,12.18,,,,,400,-0.04,1.078,1.14,G1V,3.6,5900
WASP-61 b,2.06,654.874,[0.17],1.24,[0.03],3.8559,[3e-06],0.0514,[0.0009],0,,89.35,"[0.66, 0.66]",0.000107,,,,,,,2455859.528,[0.0023],,,,,,,,,,,detected by transit,,WASP-61,01:12.0,-26:03:15,12.5,,,,,480,-0.1,1.22,1.36,F7,,6250
WASP-62 b,0.57,181.203,[0.04],1.39,[0.06],4.411953,[3e-06],0.0567,[0.0007],0,,88.3,"[0.6, 0.6]",0.000354,,,,,,,2455855.392,[0.00027],,,,,,,,,,,detected by transit,,WASP-62,48:34.0,-63:59:18,10.3,,,,,160,0.04,1.25,1.28,F7,,6230
WASP-63 b,0.38,120.802,[0.03],1.43,"[0.06, 0.06]",4.37809,[6e-06],0.0574,[0.0007],0,[],87.8,[1.3],0.001739,,[],,[],,[],2455921.653,[0.0005],,,,,,,,,,,detected by transit,,WASP-63,17:21.0,-38:19:24,11.2,,,,,330,0.08,1.32,1.88,G8,,5550
WASP-64 b,1.2,381.48,,0.7,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,detected by transit,,WASP-64,00:00.0,+00:00:00,,,,,,,,,,,,
WASP-65 b,1.55,492.745,[0.16],1.112,[0.059],2.3114243,[1.5e-06],0.0334,"[0.0017, 0.0016]",,[],88.8,"[0.7, 0.8]",,,[],,[],,[],,[],,,,,,,,,,,detected by transit,,WASP-65,53:18.0,+08:31:23,11.9,,,,,310,-0.07,0.93,,G6,,5600
WASP-66 b,2.32,737.528,[0.13],1.39,[0.09],4.086052,[7e-06],0.0546,[0.0009],0,,85.9,[0.9],0.000144,,,,,,,2455929,[0.00035],,,,,,,,,,,detected by transit,,WASP-66,32:54.0,-34:59:23,11.6,,,,,380,-0.31,1.3,1.75,F4,,6600
WASP-67 b,0.42,133.518,[0.04],1.4,"[0.2, 0.2]",4.61442,[1e-05],0.0517,[0.0008],0,,85.8,"[0.4, 0.4]",0.00023,,,,,,,2455824.374,[0.0002],,,,,,,,,,,detected by transit,,WASP-67,42:59.0,-19:56:58,12.5,,,,,225,-0.07,0.87,0.87,kov,,5200
WASP-68 b,0.8,254.32,,0.9,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,detected by transit,,WASP-68,00:00.0,+00:00:00,,,,,,,,,,,,
WASP-69 b,0.3,95.37,,1,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,detected by transit,,WASP-69,00:00.0,+00:00:00,,,,,,,,,,,,
WASP-7 b,0.96,305.184,[0.13],1.33,[0.093],4.9546416,[3.5e-06],0.0617,[0.0011],0,[],87.03,[0.93],0.000441,,[],,[],,[],2455446.635,[3e-05],,,,,,,,,,,detected by transit,,WASP-7,44:10.0,-39:13:31,9.51,,,,,140,0,1.276,1.432,F5V,2.4,6400
WASP-70 b,0.6,190.74,,0.8,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,detected by transit,,WASP-70,00:00.0,+00:00:00,,,,,,,,,,,,
WASP-71 b,2.258,717.8182,[0.072],1.5,[0.11],2.9036747,[6.8e-06],0.04631,[0.0006],0,[],84.2,[1.8],,,[],,[],,[],2455738.85,[0.0007],,,,,,,,,,3.36,detected by transit,,WASP-71,57:03.0,+00:45:32,,,,,,200,0.15,1.572,2.32,F8,,6050
WASP-72 b,1.5461,491.50519,"[0.059, 0.056]",1.27,[0.2],2.2167421,[8.1e-06],0.03708,[0.0005],,[],,[],,,[],,[],,[],,[],,,,,,,,,,,detected by transit,,WASP-72,44:10.0,-30:10:09,9.6,,,,,,-0.06,1.386,1.98,F7,,6250
WASP-75,1.07,340.153,[0.05],1.27,[0.048],2.484193,[3e-06],0.0375,"[0.0008, 0.0007]",0,[],82,"[0.2, 0.3]",,,[],,[],,[],,[],,,,,,,,,,,detected by transit,,WASP-75,49:33.0,-10:40:32,11.45,,,,,260,0.07,1.14,,F9,,6100
WASP-77A b,1.76,559.504,[0.06],1.21,[0.02],1.3600309,[2e-06],0.024,[0.00036],,[],89.4,"[0.4, 0.7]",,,[],,[],,[],2455870.45,[0.00014],,,,,,,,,,3.441,detected by transit,,WASP-77A,28:37.0,-07:03:38,11.29,,,,,,0,1.002,0.955,G8V,1,5500
WASP-78 b,1.16,368.764,[0.1],1.75,[0.04],2.17517656,[4.8e-06],0.0415,[0.0006],0,,89,[0.7],7.50E-05,,,,,,,2455882.359,[0.00058],,,,,,,,,,,detected by transit,,WASP-78,15:02.0,-22:06:59,12,,,,,550,-0.35,2.02,2.31,F8,,6100
WASP-79 b,0.9,286.11,[0.09],1.7,[0.11],3.6623817,[5.1e-06],0.0539,[0.0009],0,[],85.4,[0.6],0.000151,,[],,[],,[],2455545.235,[0.00125],,,,,,,,,,,detected by transit,,WASP-79,25:29.0,-30:36:02,10.1,,,,,240,0.03,1.56,1.64,F3,,6600
WASP-8 b,2.244,713.3676,"[0.093, 0.079]",1.038,"[0.007, 0.007]",8.158715,"[1.5e-05, 1.5e-05]",0.0801,"[0.0016, 0.0016]",0.31,"[0.0024, 0.0024]",88.55,"[0.17, 0.17]",0.000921,-85.73,"[0.18, 0.18]",,[],,[],4679.33394,"[0.00043, 0.00043]",,,,,,,,,,,detected by transit,,WASP-8,59:36.0,-35:01:53,9.9,,,,,87,0.17,1.033,0.953,G6,4,5600
WASP-80 b,0.554,176.1166,"[0.03, 0.039]",0.952,[0.027],3.0678504,[2.7e-06],0.0346,"[0.0008, 0.0011]",0.07,"[0.0, 0.07]",89.92,"[0.07, 0.12]",,,[],,[],,[],2456125.418,"[6.7e-05, 5.2e-05]",,,,,,,,,,,detected by transit,,WASP-80,12:40.0,-02:08:44,11.88,,,,,60,-0.14,0.58,0.63,K7V,,4145
WD 0806-661B b,8,2543.2,[2.0],,,,,2500,,,,,,130.208333,,,,,,,,,,,,,,,,,,,detected by imaging,,WD 0806-661B,06:54.0,-66:18:17,,,,,,19.2,,0.62,,DQ D,1.5,
WTS-1 b,4.01,1274.779,[0.35],1.49,[0.18],3.352059,[1.4e-05],0.047,[0.001],0.1,"[0.0, 0.1]",85.5,"[1.0, 0.7]",,,[],,[],,[],2454318.747,"[0.0043, 0.0036]",,,,,,,,,,,detected by transit,,WTS-1,35:58.0,+36:17:25,16.3,,,,,3200,-0.25,1.2,1.15,,2.5,6250
